unit_id,recording_id,utterance_index,duration,word_count,baseline_wer,adapted_wer,wer_delta,improved,teacher_selected_wer,teacher_accepted_updates,teacher_skipped_updates,mean_vote_count,mean_vote_fraction
BarrySchwartz_2005G:0053:600.08-612.47,BarrySchwartz_2005G,53,12.389999999999986,49,0.12244897959183673,0.12244897959183673,0.0,False,,0,3,,
BarrySchwartz_2005G:0054:612.47-625.16,BarrySchwartz_2005G,54,12.68999999999994,37,0.02702702702702703,0.02702702702702703,0.0,False,,0,3,,
BarrySchwartz_2005G:0055:625.16-632.39,BarrySchwartz_2005G,55,7.230000000000018,23,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0056:632.39-644.43,BarrySchwartz_2005G,56,12.039999999999964,35,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0057:644.43-653.75,BarrySchwartz_2005G,57,9.32000000000005,22,0.045454545454545456,0.045454545454545456,0.0,False,,0,3,,
BarrySchwartz_2005G:0058:655.18-660.69,BarrySchwartz_2005G,58,5.510000000000105,16,0.0625,0.0625,0.0,False,,0,3,,
BarrySchwartz_2005G:0059:660.69-664.21,BarrySchwartz_2005G,59,3.519999999999982,11,0.09090909090909091,0.09090909090909091,0.0,False,,0,3,,
BarrySchwartz_2005G:0060:664.21-677.41,BarrySchwartz_2005G,60,13.199999999999932,45,0.044444444444444446,0.044444444444444446,0.0,False,,0,3,,
BarrySchwartz_2005G:0061:677.41-684.45,BarrySchwartz_2005G,61,7.040000000000077,17,0.17647058823529413,0.17647058823529413,0.0,False,,0,3,,
BarrySchwartz_2005G:0062:684.45-694.41,BarrySchwartz_2005G,62,9.959999999999923,24,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0063:694.41-704.66,BarrySchwartz_2005G,63,10.25,28,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0064:704.66-711.50,BarrySchwartz_2005G,64,6.840000000000032,21,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0065:716.09-727.31,BarrySchwartz_2005G,65,11.219999999999914,40,0.025,0.025,0.0,False,,0,3,,
BarrySchwartz_2005G:0066:727.31-734.78,BarrySchwartz_2005G,66,7.470000000000027,29,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0067:734.78-744.19,BarrySchwartz_2005G,67,9.410000000000082,31,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0068:744.19-756.48,BarrySchwartz_2005G,68,12.289999999999964,52,0.057692307692307696,0.057692307692307696,0.0,False,,0,3,,
BarrySchwartz_2005G:0069:756.48-776.65,BarrySchwartz_2005G,69,20.16999999999996,78,0.24358974358974358,0.24358974358974358,0.0,False,,0,3,,
BarrySchwartz_2005G:0070:781.09-783.72,BarrySchwartz_2005G,70,2.6299999999999955,7,0.0,0.0,0.0,False,2.142857142857143,3,0,3.6666666666666665,0.22916666666666666
BarrySchwartz_2005G:0071:783.72-796.78,BarrySchwartz_2005G,71,13.059999999999945,42,0.023809523809523808,0.023809523809523808,0.0,False,,0,3,,
BarrySchwartz_2005G:0072:796.78-805.52,BarrySchwartz_2005G,72,8.740000000000009,20,0.2,0.2,0.0,False,,0,3,,
BarrySchwartz_2005G:0073:809.92-820.76,BarrySchwartz_2005G,73,10.840000000000032,26,0.038461538461538464,0.038461538461538464,0.0,False,,0,3,,
BarrySchwartz_2005G:0074:820.76-834.75,BarrySchwartz_2005G,74,13.990000000000009,55,0.03636363636363636,0.03636363636363636,0.0,False,,0,3,,
BarrySchwartz_2005G:0075:834.75-840.41,BarrySchwartz_2005G,75,5.659999999999968,18,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0076:840.41-855.02,BarrySchwartz_2005G,76,14.610000000000014,42,0.047619047619047616,0.047619047619047616,0.0,False,,0,3,,
BarrySchwartz_2005G:0077:855.02-857.81,BarrySchwartz_2005G,77,2.7899999999999636,4,0.25,0.25,0.0,False,2.25,3,0,7.666666666666667,0.4791666666666667
BarrySchwartz_2005G:0078:857.81-863.26,BarrySchwartz_2005G,78,5.4500000000000455,15,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0079:866.74-877.75,BarrySchwartz_2005G,79,11.009999999999991,31,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0080:877.75-888.87,BarrySchwartz_2005G,80,11.120000000000005,34,0.08823529411764706,0.08823529411764706,0.0,False,,0,3,,
BarrySchwartz_2005G:0081:888.87-902.31,BarrySchwartz_2005G,81,13.43999999999994,34,0.029411764705882353,0.029411764705882353,0.0,False,,0,3,,
BarrySchwartz_2005G:0082:911.67-927.69,BarrySchwartz_2005G,82,16.020000000000095,45,0.022222222222222223,0.022222222222222223,0.0,False,,0,3,,
BarrySchwartz_2005G:0083:927.69-941.16,BarrySchwartz_2005G,83,13.469999999999914,43,0.0,0.0,0.0,False,,0,3,,
BarrySchwartz_2005G:0084:941.16-954.01,BarrySchwartz_2005G,84,12.850000000000023,36,0.027777777777777776,0.027777777777777776,0.0,False,,0,3,,
BarrySchwartz_2005G:0085:954.01-967.94,BarrySchwartz_2005G,85,13.930000000000064,43,0.06976744186046512,0.06976744186046512,0.0,False,,0,3,,
